[340] New Signals | pub=City of Seattle | cols: Month, Accumulated number of new signals built
[371] 5 - New In- Lane Bike Lanes (2016 Final) | pub=City of Seattle | cols: Accumulated miles of new in-lane bike lanes built, Month
[372] Rapid Ride Corridors-2 | pub=City of Seattle | cols: Accumulated number of RapidRide corridors built, Month
[373] Shopper Visits Using Fresh Bucks | pub=City of Seattle | cols: Year, Total FB shopper visits at Farmers Markets and Farm Stands 
[374] Bicycle Count Data (2015) | pub=City of Seattle | cols: Year, Annual Bicycle Count Volumes
[375] Q1 2016 Update V2 CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme | pub=City of Seattle | cols: % , Quarter
[376] Move Seattle Data | pub=City of Seattle | cols: Month, Accumulated number of Crossing Improvements Completed in 2016
[377] Accumulated Neighborhood Project Spending By Year | pub=City of Seattle | cols: Accumulated Move Seattle dollars spent on neighborhood-selected projects ($M), Year
[378] Q4 2015 Update CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme | pub=City of Seattle | cols: % , Quarter
[379] Q3 2015 Initial Update For New Electric Vehicle Miles Goal | pub=City of Seattle | cols: Quarter, Date, % 
[380] MVT 12 Mo. Rolling AVG | pub=City of Seattle | cols: Month & Year, Total, 12mnth Rolling Avg
[381] Regulatory Signs Replaced | pub=City of Seattle | cols: Accumulated number of regulatory signs replaced, Month
[382] Prop Crime Q1 (2017)-2 | pub=City of Seattle | cols: Total, Month/Year
[383] Police Reported Collisions2014 | pub=City of Seattle | cols: Year, Police-Reported Collisions in Seattle
[384] Traffic Signals Maintained | pub=City of Seattle | cols: Accumulated number of traffic signals maintained, Month
[387] Q2 2015 Update CSB 3 Day Response | pub=City of Seattle | cols: Days, Quarter
[388] Fatal & Serious Injury Collisions - Rolling 5-year Avg (2016) | pub=City of Seattle | cols: Combined Number of Fatal & Serious Injury Collisions (5-Year Rolling Avg.), Year
[389] Signal Diagnostic Evaluations | pub=City of Seattle | cols: Accumulated number of signal diagnostic evaluations, Month
[390] TEST SPD 2016 | pub=City of Seattle | cols: Total, Month
[391] MVT 12 Mo. Rolling AVG-4 | pub=City of Seattle | cols: Month & Year, 12mnth Rolling Avg, Total
[392] 1 - Number Of Neighborhood Projects In Design (2017) | pub=City of Seattle | cols: Month, Accumulated number of large neighborhood projects in design 
[393] Urban Forest Inventory Data TM-2 | pub=City of Seattle | cols: Month, Accumulated % of urban forest inventoried and maintained
[394] Rapid Ride Corridors | pub=City of Seattle | cols: Month, Accumulated number of RapidRide corridors built
[395] Project Delivery Data TM-4 | pub=City of Seattle | cols: % of capital projects currently on time and on budget, Month
[396] 13 - Replace The Fairview Ave Bridge | pub=City of Seattle | cols: Replace the Fairview Ave. Bridge with levy funding, Month
[397] Bike Parking Spaces | pub=City of Seattle | cols: Accumulated number of bike parking spaces built, Month
[398] 9-1-1 Data-2 | pub=City of Seattle | cols: Month/Year, Score
[399] Miles Of Arterials Connected With ITS | pub=City of Seattle | cols: Accumulated miles of arterial streets connected with ITS technology, Month
[400] Q2 2015 Update SAS Companion Animal Save Rate | pub=City of Seattle | desc: Live release rate for companion animals | cols: %, Date, Quarter
[401] Housing Levy - Acquisition Program | pub=City of Seattle | cols: Acquisition and Preservation Loans, Year
[402] Percentage of Project Particpants Utilizing Find It, Fix It App | pub=City of Seattle | cols: % of Participation, Week Beginning Date | tags: find it, potholes, cla, graffiti, fix it
[403] Construction Permits Wait Timedata2015-11 | pub=City of Seattle | cols: Avg. Monthly Construction Permit Wait Time (Minutes), Month
[404] Housing Levy - Reinvest In Affordable Apartments | pub=City of Seattle | cols: Apartments Reinvested, Year
[405] Project Delivery Data (2016 08) | pub=City of Seattle | cols: % of capital projects currently on time and on budget, Month
[406] Move Seattle Data | pub=City of Seattle | cols: Month, Accumulated number of Bridge Repair Requests Completed in 2016
[407] Bike Parking Spaces-2 | pub=City of Seattle | cols: Accumulated number of bike parking spaces built, Month
[408] Housing Levy - Homelessness Prevention | pub=City of Seattle | cols: Percent return to homeless, Percent maintaining housing, Year, Households Served
[409] Bus Ridership ( In- Seattle - 2016 05) | pub=City of Seattle | cols: Reporting Period, In-Seattle Bus Ridership (Avg. Weekday Boardings)
[410] Transit Accessibility Data-3 | pub=City of Seattle | cols: Month, % of households within a 10-minute walk of a 10-minute or more frequent bus (during peaks)
[411] Urban Forest Inventory Data TM-3 | pub=City of Seattle | cols: Month, Accumulated % of urban forest inventoried and maintained
[412] Transit Accessibility Data TM-3 | pub=City of Seattle | cols: Month, % of households within a 10-minute walk of a bus running every 10 minutes of better during peak periods
[413] 2016 Q3 Streetcar System Data | pub=City of Seattle | cols: Date, First Hill Streetcar Ridership (avg. daily boardings), Total Streetcar System Ridership (avg. daily boardings), South Lake Union Streetcar Ridership (avg. daily boardings)
[414] AMM Widgets | pub=City of Seattle | cols: Miles of arterials re-paved by AMM program, Month
[415] 2 - Protected Bike Lanes (2016 Final) | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built
[416] Rapid Ride 2016-11 E Line | pub=City of Seattle | cols: RapidRide E Line Headway Adherence, Month
[417] Headline Satisfaction Data2016 | pub=City of Seattle | cols: % of Customer Responses, % of customer satisfaction survey respondents who are "satisfied" to "extremely satisfied" with SDOT's services
[418] 1 A - Safety Corridor Projects | pub=City of Seattle | cols: Month, Accumulated number of safety corridor projects completed
[419] City Bldg Energy Use Rev 6 Wh | pub=City of Seattle | cols: data collection period (using 2008 energy use as baseline), % cumulative energy reduction since 2008 
[420] Protected Bike Lanes-3 | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built
[421] Q2 2015 WMBE Purchasing Data Set | pub=City of Seattle | cols: Year, %
[422] Q2 2016 Update CSB 3 Day Response | pub=City of Seattle | cols: Days, Quarter
[423] AMM Widgets-3 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AMM program
[424] Bike Spot Safety Improvements | pub=City of Seattle | cols: Accumulated number of Urban Trail and Bikeway Spot Improvements in 2016, Month
[425] Pothole Claims Data 2013 | pub=City of Seattle | cols: Year, Annual pothole-related claims
[426] 2 - Corridors With Optimal Signal Timing | pub=City of Seattle | cols: Month, Accumulated number of corridors with optimized signal timing
[427] Fake Rapid Ride Data TM | pub=City of Seattle | cols: % of on-time RapidRide trips, Month
[428] Potholes (total Number Repaired) 2016 Data | pub=City of Seattle | cols: Month, Number of Annual Potholes Repaired
[429] 4 - New Bike Parking Spaces (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of new bike parking spaces built
[430] Construction Permits Wait Timedata2016-03 | pub=City of Seattle | cols: Avg. Monthly Construction Permit Wait Time (Minutes), Month
[431] Rapid Ride 2016 May C Line | pub=City of Seattle | cols: RapidRide C Line Headway Adherence, Month
[432] Satisfaction Comparison Data2016 | pub=City of Seattle | cols: % of Customer Responses (2016), How satisfied are you with the work and services by SDOT to build/maintain for Seattle as a whole?, % of Customer Responses (2014)
[433] Dashboard Counts | pub=City of Seattle | cols: Publicly Available Dashboards, As-of Date
[434] 1 - Miles Of Arterials Connected With ITS | pub=City of Seattle | cols: Month, Accumulated miles of arterial streets connected with ITS technology
[435] Stairway Rehabilitation-3 | pub=City of Seattle | cols: Month, Accumulated number of major stairways rehabilitated with Move Seattle dollars
[436] Pothole Repair Efficiency 2016 December Data TM | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[437] Lane Miles Pave AAC | pub=City of Seattle | cols: Month, Accumulated number of Lane Miles Paved (AAC) in 2016
[438] Peak Volume Throughput Increase Data TM | pub=City of Seattle | cols: % increase in peak volume improvement on corridors optimized to date, Month
[439] 1 - Freight Spot Improvements (2017) | pub=City of Seattle | cols: Month, Accumulated number of freight spot improvements
[440] Q1 2016 Update SAS Companion Animal Save Ratev2 | pub=City of Seattle | cols: Date, Quarter, %
[441] 3 - Neighborhood Greenways (2016 Final) | pub=City of Seattle | cols: Month, Accumulated miles of Neighborhood Greenways built
[442] Transit Accessibility Data TM-2 | pub=City of Seattle | cols: % of households within a 10-minute walk of a bus running every 10 minutes of better during peak periods, Month
[443] Signal Major Maintenance | pub=City of Seattle | cols: Month, Accumulated number of signals undergoing major maintenance
[444] Project Delivery Data TM-3 | pub=City of Seattle | cols: % of capital projects currently on time and on budget, Month
[446] 2 - Safe Routes To School Projects (2016 Final) | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed in 2016, Month
[447] Project Delivery Data (2016 08)-4 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
