[448] Bridge Seismic Retrofits # | pub=City of Seattle | cols: Month, Accumulated number of vulnerable bridges seismically retrofitted with Move Seattle dollars
[486] 5 - Eliminate Bridge Maintenance Backlog (2016 Final) | pub=City of Seattle | cols: Month, Existing bridge maintenance backlog (# of remaining bridge repairs)
[487] Bicycle % Increase Data (2016) | pub=City of Seattle | cols: Year, Annual Percentage Increase Since 2011
[488] Sidewalks Built-2 | pub=City of Seattle | cols: Accumulated number of sidewalk blocks built , Month
[489] Safety Corridor Projects Completed | pub=City of Seattle | cols: Accumulated number of safety corridor projects completed, Month
[490] Q3 2016 Update SAS Companion Animal Save Rate | pub=City of Seattle | cols: Date, Quarter, %
[491] Prop Crime Q2 Formatted(2017) | pub=City of Seattle | desc: Property crime data with properly formatted dates/ | cols: Total, Date
[492] Spotlight - Pothole & Graffiti Reports | pub=City of Seattle | desc: 2014-2016 Comparison Report | cols: Employee Reports, Week Beginning Date, Community Reports
[493] Pothole Repair Efficiency-3 | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[494] 2 - Rapid Ride Corridors (2016 Final) | pub=City of Seattle | cols: Accumulated number of RapidRide corridors built, Month
[495] Customer Importance Data2016 | pub=City of Seattle | cols: % of Customer Responses (2016), % of Customer Responses (2014), What do you believe are the two most important things that SDOT should do in the next 2 years?
[496] 26 - New Sidewalks Built | pub=City of Seattle | cols: Month, Accumulated number of new sidewalk blocks built 
[497] 1 - % Of Bridges With Retrofits (2016 Final) | pub=City of Seattle | cols: % of high priority bridges that have undergone seismic retrofitting with Move Seattle funding, Month
[498] Sidewalks Repaired | pub=City of Seattle | cols: Accumulated number of sidewalk blocks repaired, Month
[499] Paving Spot Improvements | pub=City of Seattle | cols: Month, Accumulated number of Paving Spot Improvements Completed in 2016
[500] 4 - Repave 65 Targeted Locations Each Year (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs
[501] 16 B - Landscapes Maintained | pub=City of Seattle | cols: Accumulated number of landscapes maintained, Month
[502] Corridors With Optimal Signal Timing | pub=City of Seattle | cols: Accumulated number of corridors with optimized signal timing, Month
[503] Pothole Repair Efficiency 2016 August Data TM | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[504] 27A - New Bike Parking Spaces | pub=City of Seattle | cols: Accumulated number of new bike parking spaces built this year, Month
[505] Q4 2015 Initial Update For New Electric Vehicle Miles Goal | pub=City of Seattle | cols: Date, % , Quarter
[506] Pothole Repair Efficiency 2016 June Data TM | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[507] Transit Spot Improvements | pub=City of Seattle | cols: Accumulated number of transit spot improvements in 2016, Month
[508] 14 - Plan And Design Bridges | pub=City of Seattle | cols: Month, Accumulated number of planned and designed high priority bridge replacements to begin after 2024
[509] 3 - Signal Diagnostic Evaluations | pub=City of Seattle | cols: Month, Accumulated number of signal diagnostic evaluations
[510] 7 - Street Name Signs Maintained (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of street name signs maintained
[511] 2017 SOACRATA Estimated Daily Attendance As Of 12-31-17-3 | pub=City of Seattle | cols: Total Estimated Daily Attendance, Date
[512] 1 - Increase In Traveler Miles On Fair Or Better Pavement (2016 Final) | pub=City of Seattle | cols: Month, % increase in traveller miles on pavement in fair or better condition due to Move Seattle
[513] Sidewalks Repaired | pub=City of Seattle | cols: Month, Accumulated number of Sidewalks Repaired (Concrete & Asphalt) in 2016
[514] 12 - # Of Bridges With Seismic Retrofits | pub=City of Seattle | cols: Accumulated number of vulnerable bridges seismically retrofitted with levy funding, Month
[515] Data Center Services - Department Summaries Uploaded 04-20-2016 | pub=City of Seattle | desc: For IT service dashboards. LoS = (# of service offerings where the average ticket turnaround time was equal to or less than target / total # of service offerings where tickets were requested) | cols: LosPerc, EndOfMonth, Department
[516] Stairways Rehabilitated | pub=City of Seattle | cols: Month, Accumulated number of Stairways Rehabilitated in 2016
[517] AMM Spot Repairs Widgets-2 | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs
[518] 1 - Increase In Traveler Miles On Fair Or Better Pavement (2016 Final)-2 | pub=City of Seattle | cols: Month, % increase in traveller miles on pavement in fair or better condition due to Move Seattle
[519] New Signals-2 | pub=City of Seattle | cols: Accumulated number of new signals installed, Month
[520] Bus Ridership Increase ( In- Seattle - Spring 2015) | pub=City of Seattle | cols: In-Seattle Bus Ridership Year on Year Increase (Avg. Weekday Boardings), Reporting Period
[521] 16 C - Trees Removed2018 | pub=City of Seattle | cols: Accumulated number of trees removed in 2018, Month
[522] 16 C - Tree Or Vegetation Obstruction Removed | pub=City of Seattle | cols: Month, Accumulated number of tree or vegetation obstructions removed
[523] Rapid Ride 2016-11 C Line | pub=City of Seattle | cols: Month, RapidRide C Line Headway Adherence
[524] Crosswalk Percent Marked | pub=City of Seattle | cols: Month, % of crosswalks marked since levy inception
[525] Trees Pruned | pub=City of Seattle | cols: Accumulated number of Trees Pruned in 2016, Month
[526] 1 - Number Of Neighborhood Projects Selected (2016 Final) | pub=City of Seattle | cols: Accumulated number of large neighborhood projects selected, Month
[527] Q3 2015 Update CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme | pub=City of Seattle | cols: % , Quarter
[528] Landscape Maintained | pub=City of Seattle | cols: Month, Accumulated number of Maintained Landscapes in 2016
[530] Q3 2016 Initial Update For Electric Vehicle Usage Goal Final | pub=City of Seattle | cols: Quarter, Date, % 
[531] Project Delivery Data (2016 08)-2 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[532] Housing Levy - Homeownership Program Overview | pub=City of Seattle | cols: Households Assisted, Year
[533] Safety Corridor Projects | pub=City of Seattle | cols: Month, Accumulated number of Safety Corridor Projects Constructed in 2016
[534] 2 - Safety Corridor Projects Completed (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of safety corridor projects completed
[535] AAC Widgets-2 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AAC program
[536] 7 - Intersections Improved With Curb Ramps (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of intersections improved with curb ramps
[537] 2016 Employee Reports Utilizing Find It Fix It | pub=City of Seattle | cols: Employee Reports, Week Beginning Date
[538] 18 - South Park Neighborhood Drainage Project Partnering With SPU | pub=City of Seattle | cols: Month, Completed South Park Drainage Project with SPU
[539] Sept- Oct 2014-2016 Find It Fix It Reports By Category V2 | pub=City of Seattle | cols: Potholes, Week Beginning, Sign Graffiti, Pay Station Graffiti
[540] 27 - Broadway Neighborhood Pedestrian Facilities | pub=City of Seattle | cols: Month, Broadway Neighborhood Pedestrian Facilities project completed
[541] Increase In Traveler Miles On Fair Or Better Pavement Data TM-3 | pub=City of Seattle | cols: Month, % increase in traveller miles on pavement in fair or better condition due to Move Seattle
[542] Environment and Climate Change- Building Emissions | pub=City of Seattle | cols: Year, Building Sector Emissions in Metric Tons of CO2e, % reduction from baseline projected, % reduction from baseline
[543] Number Of Neighborhood Projects Selected | pub=City of Seattle | cols: Accumulated number of large neighborhood projects selected, Month
[544] Accumulated Neighborhood Project Spending By Year-4 | pub=City of Seattle | cols: Year, Accumulated Move Seattle dollars spent on neighborhood-selected projects ($M)
[545] Project Delivery Data (2016 08)-10 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[546] Bike Parking Spaces-3 | pub=City of Seattle | cols: Accumulated number of bike parking spaces built, Month
[547] Potholes (total Number Repaired) 2016 Data-2 | pub=City of Seattle | cols: Number of Annual Potholes Repaired, Month
[548] Safety Corridor Projects Completed-2 | pub=City of Seattle | cols: Accumulated number of safety corridor projects completed, Month
[549] Q1 2016 Update SAS Companion Animal Save Rate | pub=City of Seattle | cols: Quarter, Date, %
